daerah,latitude,longitude,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
MADIDIR,1.462,125.154,21.54,1.91,20.34,0.3,1.48,55.58,16.71,9.6,18.12,0.17,14.35,12.28
MATUARI,1.407,125.099,22.65,1.34,22.32,0.21,0.8,53.77,14.49,14.75,16.42,0.22,10.29,7.97
GIRIAN,1.439,125.121,16.98,1.27,25,0.25,2.82,50.72,12.68,7.31,15.83,0.06,12,7.48
LEMBEH SELATAN,1.413,125.22,52.93,2.7,21.83,0.88,3.19,52.51,45.07,42.88,34.82,0.14,23.6,20.67
LEMBEH UTARA,1.476,125.265,51.9,2.42,17.13,0.66,1.19,61.84,47.44,49.62,12.75,0.09,30.19,40.09
AERTEMBAGA,1.505,125.204,25.78,2.05,26.91,0.32,0.88,51.25,14.83,14.02,21.6,0.4,13.22,6.54
MAESA,1.469,125.176,24.11,1.98,22.75,0.31,1.59,54.42,15.65,10.73,23.64,0.33,14.6,11.47
RANOWULU,1.515,125.105,29.47,1.23,24.49,0.37,1.33,56.1,20.25,11.99,25.56,0.19,16.55,14
TOMOHON SELATAN,1.272,124.829,26.31,1.68,9.88,0.19,0.59,42.65,16.35,13.72,26.04,0.52,15.24,15.69
TOMOHON TENGAH,1.316,124.857,15.29,1.25,13.31,0.13,0.48,55.58,6.63,7.54,15.17,0.49,6.94,14.41
TOMOHON TIMUR,1.331,124.868,26.4,1.87,10.62,0.24,1.95,41.9,13,19.36,26.4,0.37,14.53,25.21
TOMOHON BARAT,1.321,124.763,38.71,2.34,10.68,0.67,4.21,44.11,26.6,23.63,37.81,0.75,20.02,19.32
TOMOHON UTARA,1.323,124.838,26.35,1.43,15.37,0.28,1.05,45.26,16.32,16.98,25.4,0.38,14.99,22.03
KOTAMOBAGU SELATAN,0.713,124.292,34.01,2.79,25.59,0.48,3.47,41.45,30.02,14.46,33.11,0.11,7.79,11.78
KOTAMOBAGU TIMUR,0.736,124.337,30.34,2.68,20.29,0.22,1.56,51.88,23.1,15.67,24.36,0.15,4.79,3.37
KOTAMOBAGU BARAT,0.733,124.317,18.03,1.75,17.52,0.27,1.02,53.36,9.8,6.08,16.98,0.12,4.84,4.96
KOTAMOBAGU UTARA,0.759,124.325,24.55,2.17,25.62,0.44,2.88,49.46,17.37,8.3,23.61,0.14,4.25,4.59
